bucket,cl_open,cl_high,cl_low,cl_close,bren_open,bren_high,bren_low,bren_close,spread_abs_bren_minus_cl,spread_pct_vs_cl
2026-03-21,96.339000,98.210000,94.622000,98.141000,105.680000,107.390000,102.880000,107.210000,9.069000,0.092408
2026-03-22,98.197000,101.520000,96.383000,98.535000,107.220000,112.190000,105.440000,107.180000,8.645000,0.087735
2026-03-23,98.550000,101.620000,82.500000,89.450000,107.170000,109.800000,88.092000,97.036000,7.586000,0.084807
2026-03-24,89.438000,93.352000,86.342000,88.833000,97.053000,103.410000,94.000000,96.517000,7.684000,0.086499
2026-03-25,88.811000,91.469000,86.487000,90.973000,96.517000,98.369000,93.550000,97.869000,6.896000,0.075803
2026-03-26,91.002000,95.381000,89.637000,93.208000,97.875000,102.430000,96.663000,100.670000,7.462000,0.080058
2026-03-27,93.218000,101.520000,92.083000,100.820000,100.660000,107.990000,98.929000,107.590000,6.770000,0.067149
2026-03-28,100.840000,100.900000,97.989000,100.760000,107.570000,108.090000,104.770000,107.300000,6.540000,0.064907
2026-03-29,100.790000,103.760000,99.909000,102.630000,107.300000,109.010000,106.200000,108.480000,5.850000,0.057001
2026-03-30,102.630000,106.630000,99.350000,105.930000,108.480000,110.070000,106.130000,109.240000,3.310000,0.031247
2026-03-31,105.960000,106.270000,99.530000,101.370000,109.240000,109.850000,102.370000,103.550000,2.180000,0.021505
2026-04-01,101.380000,103.190000,96.386000,98.825000,103.510000,105.710000,98.237000,100.540000,1.715000,0.017354
2026-04-02,98.770000,113.500000,97.470000,111.250000,100.570000,109.650000,99.065000,108.150000,-3.100000,-0.027865
2026-04-03,111.310000,113.350000,110.520000,111.660000,108.110000,110.420000,107.620000,110.070000,-1.590000,-0.014240
2026-04-04,111.650000,112.200000,110.910000,112.120000,110.100000,110.590000,109.360000,109.700000,-2.420000,-0.021584
2026-04-05,112.120000,114.810000,111.800000,113.590000,109.700000,111.560000,108.550000,110.950000,-2.640000,-0.023241
2026-04-06,113.580000,113.640000,108.140000,113.220000,110.960000,110.960000,106.170000,110.050000,-3.170000,-0.027999
2026-04-07,113.260000,116.650000,90.526000,95.910000,109.990000,111.490000,88.731000,94.253000,-1.657000,-0.017277
2026-04-08,95.895000,97.607000,90.653000,95.352000,94.253000,96.460000,89.836000,95.607000,0.255000,0.002674
2026-04-09,95.320000,99.438000,92.809000,95.234000,95.591000,97.733000,92.429000,94.321000,-0.913000,-0.009587
2026-04-10,95.236000,96.365000,91.416000,92.030000,94.322000,95.548000,90.938000,91.708000,-0.322000,-0.003499
2026-04-11,92.017000,92.160000,88.369000,90.123000,91.706000,92.300000,86.927000,89.535000,-0.588000,-0.006524
2026-04-12,90.123000,99.939000,89.372000,99.037000,89.540000,100.880000,88.866000,98.764000,-0.273000,-0.002757
2026-04-13,99.075000,99.550000,91.260000,91.788000,98.765000,99.073000,92.096000,92.681000,0.893000,0.009729
2026-04-14,91.770000,93.246000,84.509000,87.490000,92.695000,94.412000,86.501000,89.810000,2.320000,0.026517
2026-04-15,87.520000,90.488000,87.396000,87.739000,89.802000,92.594000,89.706000,90.415000,2.676000,0.030500
2026-04-16,87.736000,91.800000,87.364000,90.058000,90.409000,93.898000,90.213000,92.914000,2.856000,0.031713
2026-04-17,90.047000,90.359000,79.029000,83.752000,92.914000,93.088000,83.455000,87.385000,3.633000,0.043378
2026-04-18,83.751000,88.100000,83.462000,86.041000,87.379000,91.322000,87.200000,89.651000,3.610000,0.041957
2026-04-19,86.051000,90.400000,84.788000,88.679000,89.653000,93.651000,88.433000,91.425000,2.746000,0.030966
2026-04-20,88.678000,88.941000,85.466000,86.252000,91.439000,91.724000,88.476000,89.525000,3.273000,0.037947
2026-04-21,86.251000,92.270000,85.728000,90.552000,89.524000,95.550000,89.145000,93.976000,3.424000,0.037813
2026-04-22,90.536000,93.739000,87.666000,92.758000,93.962000,96.713000,91.394000,95.980000,3.222000,0.034736
2026-04-23,92.751000,98.359000,92.395000,96.772000,95.949000,101.420000,95.892000,100.200000,3.428000,0.035423
2026-04-24,96.771000,97.796000,92.793000,94.759000,100.200000,101.310000,97.572000,99.868000,5.109000,0.053916
2026-04-25,94.758000,96.836000,94.705000,95.905000,99.847000,102.200000,99.825000,100.810000,4.905000,0.051144
2026-04-26,95.907000,96.650000,94.725000,96.090000,100.820000,101.690000,100.000000,101.320000,5.230000,0.054428
2026-04-27,96.090000,97.681000,94.642000,96.711000,101.300000,102.580000,99.580000,101.850000,5.139000,0.053138
2026-04-28,96.711000,101.840000,96.297000,99.378000,101.840000,105.850000,101.630000,103.850000,4.472000,0.045000
2026-04-29,99.376000,109.020000,98.411000,107.840000,103.830000,113.700000,103.220000,111.720000,3.880000,0.035979
2026-04-30,107.830000,110.830000,103.350000,105.580000,111.730000,114.580000,107.140000,111.380000,5.800000,0.054935
2026-05-01,105.600000,106.570000,99.211000,102.770000,111.370000,112.360000,106.210000,109.260000,6.490000,0.063151
2026-05-02,102.780000,103.000000,100.130000,102.060000,109.260000,109.480000,108.230000,108.640000,6.580000,0.064472
2026-05-03,102.050000,102.330000,98.600000,101.720000,108.640000,108.830000,105.000000,108.200000,6.480000,0.063704
2026-05-04,101.720000,107.560000,100.060000,104.940000,108.190000,115.070000,106.470000,113.870000,8.930000,0.085096
2026-05-05,104.940000,105.300000,99.098000,99.777000,113.860000,114.320000,106.270000,107.270000,7.493000,0.075097
2026-05-06,99.785000,101.380000,88.660000,95.708000,107.260000,108.980000,96.562000,101.670000,5.962000,0.062294
2026-05-07,95.729000,98.030000,89.501000,95.872000,101.660000,103.270000,95.677000,101.230000,5.358000,0.055887
2026-05-08,95.853000,96.179000,92.729000,92.760000,101.240000,101.920000,98.165000,98.478000,5.718000,0.061643
2026-05-09,92.760000,93.939000,91.300000,93.435000,98.477000,99.169000,97.221000,98.772000,5.337000,0.057120
2026-05-10,93.435000,97.338000,92.000000,97.144000,98.773000,103.670000,97.779000,103.150000,6.006000,0.061826
2026-05-11,97.140000,98.376000,94.306000,95.904000,103.130000,103.860000,100.740000,101.720000,5.816000,0.060644
2026-05-12,95.904000,99.705000,95.904000,98.773000,101.730000,105.360000,101.730000,104.110000,5.337000,0.054033
2026-05-13,98.777000,99.395000,96.542000,96.825000,104.110000,104.540000,101.390000,101.890000,5.065000,0.052311
2026-05-14,96.822000,98.126000,95.101000,97.773000,101.890000,102.990000,99.707000,102.250000,4.477000,0.045790
2026-05-15,97.785000,101.520000,97.473000,101.160000,102.250000,105.160000,101.960000,104.800000,3.640000,0.035983
2026-05-16,101.150000,102.030000,100.800000,101.770000,104.800000,105.540000,104.300000,105.270000,3.500000,0.034391
2026-05-17,101.760000,102.840000,101.280000,102.470000,105.280000,106.800000,104.650000,106.020000,3.550000,0.034644
2026-05-18,102.470000,105.070000,98.576000,102.260000,106.020000,108.110000,102.710000,104.820000,2.560000,0.025034
2026-05-19,102.280000,102.940000,102.130000,102.410000,104.860000,105.600000,104.830000,105.150000,2.740000,0.026755
